accm_txn_complete_time,h_id,dateAdded,dateUpdated,Price_per_night,no_of_reserved_rooms,totalAmount,Copy_of_HotelCategoryID,Copy_of_hotel_name,InsertDate,ModifiedDate,accm_txn_create_time,txn_process_time_hours,ReviewSK
08/03/2024 05:53,24,31/01/2025,11/02/2025,189,4,756,113,Bell-Perry Hotel,31/01/2025,11/02/2025,08/03/2024 02:14,3.65,1148
08/06/2024 19:00,25,22/10/2024,20/11/2024,154.1,4,616.4,113,Watkins LLC Hotel,22/10/2024,20/11/2024,08/06/2024 16:19,2.69,1340
16/04/2024 06:45,26,11/02/2025,12/02/2025,419.24,1,419.24,105,"Kramer, Oliver and Huerta Hotel",11/02/2025,12/02/2025,16/04/2024 03:56,2.81,1717
20/02/2024 23:40,27,13/01/2024,22/01/2024,263.27,2,526.54,109,"Mitchell, Harris and Martin Hotel",13/01/2024,22/01/2024,20/02/2024 20:02,3.63,1081
09/04/2025 09:12,28,01/01/2024,20/01/2024,158.86,2,317.72,113,Hensley-Guzman Hotel,01/01/2024,20/01/2024,09/04/2025 05:32,3.67,1866
09/01/2024 17:25,29,13/06/2024,03/07/2024,120.26,5,601.3,110,Wolf-Esparza Hotel,13/06/2024,03/07/2024,09/01/2024 15:53,1.53,1502
04/07/2024 16:42,30,10/05/2024,07/06/2024,435.83,4,1743.32,105,Sanchez LLC Hotel,10/05/2024,07/06/2024,04/07/2024 14:41,2.01,1296
01/12/2024 20:39,31,01/02/2025,03/02/2025,116.1,3,348.3,103,Lopez PLC Hotel,01/02/2025,03/02/2025,01/12/2024 18:39,2.01,1626
18/03/2025 01:34,32,11/11/2024,15/11/2024,98.5,1,98.5,109,Dodson-Williams Hotel,11/11/2024,15/11/2024,17/03/2025 20:51,4.71,1528
10/04/2024 20:16,33,26/11/2024,22/12/2024,201.19,5,1005.95,103,Barker Ltd Hotel,26/11/2024,22/12/2024,10/04/2024 19:07,1.15,1123
13/03/2024 23:48,34,20/02/2025,28/02/2025,421.02,3,1263.06,105,"Marks, Friedman and Johnson Hotel",20/02/2025,28/02/2025,13/03/2024 20:12,3.6,1086
26/09/2024 23:33,35,12/04/2024,10/05/2024,417.75,4,1671,114,"Jackson, Savage and Montes Hotel",12/04/2024,10/05/2024,26/09/2024 21:41,1.86,1915
12/05/2024 03:44,36,04/03/2025,09/03/2025,85.4,2,170.8,118,White Ltd Hotel,04/03/2025,09/03/2025,12/05/2024 00:44,3.01,1310
06/08/2024 07:47,37,06/01/2025,15/01/2025,485.58,5,2427.9,114,Morgan-Williams Hotel,06/01/2025,15/01/2025,06/08/2024 06:34,1.23,1483
05/04/2024 01:11,38,09/02/2024,16/02/2024,449.43,1,449.43,113,Woods Group Hotel,09/02/2024,16/02/2024,04/04/2024 19:13,5.96,1494
09/05/2024 09:59,39,02/11/2024,03/11/2024,128.16,5,640.8,105,Clayton PLC Hotel,02/11/2024,03/11/2024,09/05/2024 07:34,2.42,1089
11/03/2025 01:28,40,26/02/2025,07/03/2025,222.1,2,444.2,105,"Walsh, Murphy and Vincent Hotel",26/02/2025,07/03/2025,10/03/2025 23:18,2.18,1032
03/03/2024 21:10,41,18/06/2024,14/07/2024,142.25,2,284.5,109,Gray PLC Hotel,18/06/2024,14/07/2024,03/03/2024 19:13,1.95,1576
09/08/2024 22:23,42,10/05/2024,03/06/2024,69.13,4,276.52,105,"Baker, Gallegos and Hansen Hotel",10/05/2024,03/06/2024,09/08/2024 20:58,1.42,1428
27/05/2024 07:15,43,14/10/2024,04/11/2024,412.89,1,412.89,111,Ramirez Ltd Hotel,14/10/2024,04/11/2024,27/05/2024 04:46,2.48,1570
16/04/2024 13:01,44,04/02/2024,26/02/2024,318.13,5,1590.65,119,Smith-Bullock Hotel,04/02/2024,26/02/2024,16/04/2024 09:53,3.13,1829
21/02/2025 19:19,45,19/07/2024,11/08/2024,357.8,2,715.6,111,"Dean, Turner and Martin Hotel",19/07/2024,11/08/2024,21/02/2025 15:32,3.78,1258
07/10/2024 09:37,46,17/02/2024,21/02/2024,330.37,5,1651.85,118,Clark PLC Hotel,17/02/2024,21/02/2024,07/10/2024 08:06,1.51,1954
08/03/2025 02:12,47,30/05/2024,21/06/2024,450.26,4,1801.04,102,"Johnson, Phillips and Lyons Hotel",30/05/2024,21/06/2024,08/03/2025 01:06,1.1,1423
20/10/2024 04:31,48,24/02/2025,09/03/2025,281.9,1,281.9,118,Lopez-Harris Hotel,24/02/2025,09/03/2025,19/10/2024 23:20,5.18,1465
10/12/2024 21:42,49,28/01/2024,01/02/2024,358.37,5,1791.85,104,Green Ltd Hotel,28/01/2024,01/02/2024,10/12/2024 18:20,3.37,1146
17/03/2024 15:07,50,06/10/2024,12/10/2024,397.11,3,1191.33,102,Mills-Schultz Hotel,06/10/2024,12/10/2024,17/03/2024 12:05,3.03,1075
02/09/2024 05:28,51,11/08/2024,30/08/2024,212.5,5,1062.5,101,"Santana, Baker and Morales Hotel",11/08/2024,30/08/2024,02/09/2024 00:09,5.32,1380
10/11/2024 21:24,52,26/12/2024,28/12/2024,178.8,4,715.2,117,Sullivan Ltd Hotel,26/12/2024,28/12/2024,10/11/2024 18:30,2.9,1310
13/05/2024 04:13,53,22/02/2024,25/02/2024,305.01,1,305.01,109,Adams-Hunter Hotel,22/02/2024,25/02/2024,13/05/2024 02:27,1.76,1613
19/09/2024 19:14,54,29/10/2024,24/11/2024,412.93,3,1238.79,115,"Wheeler, Washington and Duran Hotel",29/10/2024,24/11/2024,19/09/2024 17:54,1.33,1706
24/02/2024 02:58,55,17/03/2024,17/03/2024,474.03,4,1896.12,112,Gutierrez and Sons Hotel,17/03/2024,17/03/2024,24/02/2024 01:43,1.25,1867
16/11/2024 07:39,56,08/04/2024,08/04/2024,310.12,3,930.36,104,Malone Group Hotel,08/04/2024,08/04/2024,16/11/2024 04:11,3.48,1364
26/07/2024 08:10,57,27/06/2024,08/07/2024,264.15,3,792.45,117,Hale PLC Hotel,27/06/2024,08/07/2024,26/07/2024 02:46,5.4,1314
30/10/2024 13:08,58,07/07/2024,28/07/2024,212.76,2,425.52,110,"Webb, Nguyen and Richardson Hotel",07/07/2024,28/07/2024,30/10/2024 09:05,4.05,1098
09/04/2024 20:00,59,20/02/2025,12/03/2025,477.05,5,2385.25,106,"Jones, Rivas and Green Hotel",20/02/2025,12/03/2025,09/04/2024 17:13,2.78,1538
04/03/2024 14:09,60,25/01/2025,27/01/2025,281.38,2,562.76,120,Butler-May Hotel,25/01/2025,27/01/2025,04/03/2024 09:10,4.99,1680
11/02/2025 03:06,61,16/09/2024,06/10/2024,57.12,3,171.36,113,Smith-Jones Hotel,16/09/2024,06/10/2024,10/02/2025 21:54,5.19,1036
19/09/2024 06:47,62,30/12/2024,04/01/2025,188.05,3,564.15,108,Nunez-Allen Hotel,30/12/2024,04/01/2025,19/09/2024 05:41,1.1,1851
17/09/2024 18:33,63,26/12/2024,17/01/2025,150.1,2,300.2,115,Fisher Inc Hotel,26/12/2024,17/01/2025,17/09/2024 13:08,5.42,1993
19/04/2025 06:41,64,13/03/2024,21/03/2024,151.9,4,607.6,104,"Gonzales, Snyder and Robles Hotel",13/03/2024,21/03/2024,19/04/2025 01:26,5.26,1439
18/04/2025 16:35,65,30/01/2024,28/02/2024,116.23,4,464.92,117,"Watkins, Cook and Floyd Hotel",30/01/2024,28/02/2024,18/04/2025 15:21,1.23,1959
28/11/2024 06:58,66,29/11/2024,18/12/2024,334.56,5,1672.8,110,Hernandez-Carr Hotel,29/11/2024,18/12/2024,28/11/2024 05:39,1.32,1255
23/02/2024 15:10,67,19/10/2024,05/11/2024,360.44,3,1081.32,120,Walker-Wells Hotel,19/10/2024,05/11/2024,23/02/2024 10:47,4.38,1440
10/06/2024 00:35,68,19/03/2025,22/03/2025,83.52,4,334.08,119,"Bailey, Blair and Martin Hotel",19/03/2025,22/03/2025,09/06/2024 21:25,3.17,1957
14/06/2024 01:44,69,30/06/2024,19/07/2024,110.17,3,330.51,120,Holland and Sons Hotel,30/06/2024,19/07/2024,13/06/2024 23:31,2.22,1613
10/01/2024 07:21,70,10/11/2024,21/11/2024,189.75,3,569.25,103,"Cook, Rocha and Dominguez Hotel",10/11/2024,21/11/2024,10/01/2024 05:55,1.43,1611
12/11/2024 04:54,71,17/01/2025,01/02/2025,292.39,3,877.17,117,Newton Group Hotel,17/01/2025,01/02/2025,12/11/2024 01:38,3.28,1436
28/04/2024 05:42,72,11/02/2025,26/02/2025,433.9,2,867.8,111,Moore and Sons Hotel,11/02/2025,26/02/2025,28/04/2024 01:25,4.29,1286
24/06/2024 05:38,73,05/01/2025,28/01/2025,264.55,5,1322.75,105,Butler-Williams Hotel,05/01/2025,28/01/2025,24/06/2024 01:20,4.3,1614
07/07/2024 12:32,74,06/05/2024,13/05/2024,128.89,4,515.56,108,Wagner-Washington Hotel,06/05/2024,13/05/2024,07/07/2024 11:09,1.39,1566
09/12/2024 20:30,75,26/06/2024,29/06/2024,145.74,2,291.48,120,Peterson-Sanders Hotel,26/06/2024,29/06/2024,09/12/2024 16:25,4.07,1429
25/01/2025 13:25,76,19/06/2024,04/07/2024,283.67,1,283.67,111,"Robinson, Castillo and Moon Hotel",19/06/2024,04/07/2024,25/01/2025 10:07,3.29,1564
26/04/2025 14:08,77,19/06/2024,18/07/2024,64.16,4,256.64,108,Dean-Case Hotel,19/06/2024,18/07/2024,26/04/2025 11:10,2.96,1842
15/02/2024 22:03,78,03/08/2024,31/08/2024,391.84,2,783.68,111,Brooks-Bautista Hotel,03/08/2024,31/08/2024,15/02/2024 18:06,3.94,1076
02/08/2024 05:07,79,24/02/2025,09/03/2025,422.15,1,422.15,102,Bailey Group Hotel,24/02/2025,09/03/2025,02/08/2024 00:55,4.19,1348
11/04/2024 13:37,80,25/08/2024,10/09/2024,79.38,2,158.76,106,Dickerson-Pineda Hotel,25/08/2024,10/09/2024,11/04/2024 12:20,1.28,1586
30/09/2024 16:57,81,04/04/2025,04/05/2025,142.09,1,142.09,118,Wilson-Owens Hotel,04/04/2025,04/05/2025,30/09/2024 11:56,5.01,1199
01/01/2024 07:25,82,01/04/2024,08/04/2024,57.61,4,230.44,109,Palmer-Mack Hotel,01/04/2024,08/04/2024,01/01/2024 04:40,2.74,1932
31/05/2024 11:32,83,11/03/2025,19/03/2025,135.37,5,676.85,109,Rose Group Hotel,11/03/2025,19/03/2025,31/05/2024 07:17,4.25,1923
05/02/2025 04:53,84,02/12/2024,11/12/2024,173.69,1,173.69,110,Evans and Sons Hotel,02/12/2024,11/12/2024,05/02/2025 01:02,3.85,1389
29/06/2024 23:19,85,23/08/2024,23/08/2024,124.3,2,248.6,119,Payne-Mendoza Hotel,23/08/2024,23/08/2024,29/06/2024 18:28,4.85,1171
26/04/2024 13:36,86,18/04/2025,17/05/2025,80.65,4,322.6,109,Acosta Ltd Hotel,18/04/2025,17/05/2025,26/04/2024 10:48,2.81,1600
03/04/2025 09:39,87,29/12/2024,05/01/2025,244.67,3,734.01,117,"Carpenter, Moses and Nelson Hotel",29/12/2024,05/01/2025,03/04/2025 08:01,1.64,1704
20/01/2024 02:11,88,02/02/2025,09/02/2025,439.63,4,1758.52,113,"Brooks, Ramos and Bailey Hotel",02/02/2025,09/02/2025,19/01/2024 22:05,4.1,1341
08/01/2024 11:37,89,31/03/2024,20/04/2024,205.46,2,410.92,104,Griffin Inc Hotel,31/03/2024,20/04/2024,08/01/2024 09:29,2.14,1756
24/11/2024 07:40,90,28/09/2024,25/10/2024,319.06,3,957.18,105,"Ochoa, Trevino and Haynes Hotel",28/09/2024,25/10/2024,24/11/2024 02:01,5.65,1866
18/10/2024 13:41,91,23/09/2024,02/10/2024,461.93,4,1847.72,118,Hardy Group Hotel,23/09/2024,02/10/2024,18/10/2024 10:50,2.86,1740
22/07/2024 17:27,92,28/01/2025,04/02/2025,59.7,5,298.5,105,"Butler, Andrews and Calderon Hotel",28/01/2025,04/02/2025,22/07/2024 11:41,5.76,1490
28/04/2025 11:32,93,04/02/2025,05/02/2025,378.46,4,1513.84,109,Sullivan-Olsen Hotel,04/02/2025,05/02/2025,28/04/2025 09:10,2.37,1170
11/10/2024 11:38,94,07/11/2024,01/12/2024,166.08,2,332.16,115,"Richardson, Phelps and Campbell Hotel",07/11/2024,01/12/2024,11/10/2024 05:41,5.95,1663
08/06/2024 21:20,95,01/02/2024,23/02/2024,131.71,5,658.55,119,Parks PLC Hotel,01/02/2024,23/02/2024,08/06/2024 16:00,5.34,1784
03/08/2024 10:55,96,25/11/2024,11/12/2024,193.69,3,581.07,113,"Howard, Ross and Ford Hotel",25/11/2024,11/12/2024,03/08/2024 07:49,3.1,1159
18/03/2025 09:31,97,02/03/2025,30/03/2025,139.39,3,418.17,118,Rice-Davis Hotel,02/03/2025,30/03/2025,18/03/2025 05:21,4.16,1460
08/03/2025 20:19,98,29/11/2024,16/12/2024,441.92,2,883.84,101,Brady LLC Hotel,29/11/2024,16/12/2024,08/03/2025 19:01,1.29,1485
12/03/2025 13:54,99,07/04/2024,06/05/2024,447.01,4,1788.04,102,Anderson-Miller Hotel,07/04/2024,06/05/2024,12/03/2025 09:12,4.71,1040
20/04/2024 04:56,100,14/02/2024,07/03/2024,480.44,4,1921.76,105,Russell-Benton Hotel,14/02/2024,07/03/2024,19/04/2024 23:07,5.82,1248
13/06/2024 06:17,101,24/06/2024,13/07/2024,95.18,1,95.18,108,"Holland, Lee and Morgan Hotel",24/06/2024,13/07/2024,13/06/2024 04:50,1.45,1429
01/01/2025 09:21,102,14/01/2024,04/02/2024,119.43,4,477.72,103,Martin-Diaz Hotel,14/01/2024,04/02/2024,01/01/2025 07:04,2.29,1496
08/05/2024 10:54,103,20/02/2024,07/03/2024,388.66,2,777.32,102,Ward-Tucker Hotel,20/02/2024,07/03/2024,08/05/2024 09:03,1.85,1931
08/01/2025 18:16,104,30/08/2024,29/09/2024,189.86,1,189.86,107,Allen Ltd Hotel,30/08/2024,29/09/2024,08/01/2025 12:56,5.33,1553
05/04/2025 08:00,105,19/06/2024,09/07/2024,473.46,5,2367.3,119,"Gates, Williams and Gray Hotel",19/06/2024,09/07/2024,05/04/2025 06:56,1.06,1140
06/12/2024 07:38,106,16/07/2024,10/08/2024,50.1,3,150.3,104,Tate-Cruz Hotel,16/07/2024,10/08/2024,06/12/2024 03:47,3.84,1461
07/09/2024 19:20,107,22/09/2024,17/10/2024,273.05,4,1092.2,104,Morgan-Wells Hotel,22/09/2024,17/10/2024,07/09/2024 15:58,3.37,1727
14/12/2024 06:48,108,08/04/2024,05/05/2024,201.22,1,201.22,104,Reyes-Cobb Hotel,08/04/2024,05/05/2024,14/12/2024 01:02,5.77,1005
16/03/2025 13:06,109,31/01/2025,20/02/2025,203.17,3,609.51,113,Williams-Black Hotel,31/01/2025,20/02/2025,16/03/2025 10:55,2.17,1867
04/02/2024 12:26,110,09/11/2024,24/11/2024,438.33,3,1314.99,102,Davis-Wilson Hotel,09/11/2024,24/11/2024,04/02/2024 08:51,3.58,1480
11/06/2024 23:43,111,16/07/2024,05/08/2024,59.75,4,239,112,"Allison, Middleton and Malone Hotel",16/07/2024,05/08/2024,11/06/2024 21:16,2.44,1837
21/05/2024 01:10,112,08/04/2025,20/04/2025,340.74,1,340.74,101,"Buchanan, Garza and Hebert Hotel",08/04/2025,20/04/2025,20/05/2024 23:29,1.68,1362
20/03/2025 09:37,113,30/10/2024,03/11/2024,372.59,4,1490.36,112,"Rogers, Anderson and Rivas Hotel",30/10/2024,03/11/2024,20/03/2025 04:40,4.95,1043
16/09/2024 10:49,114,25/04/2024,08/05/2024,476.85,1,476.85,111,"Johnson, Escobar and Trujillo Hotel",25/04/2024,08/05/2024,16/09/2024 08:25,2.4,1820
30/04/2024 10:17,115,11/10/2024,25/10/2024,179.95,2,359.9,103,Mccall PLC Hotel,11/10/2024,25/10/2024,30/04/2024 08:16,2.01,1334
01/09/2024 11:21,116,31/10/2024,29/11/2024,312.39,1,312.39,105,"Morales, Wilkinson and Reynolds Hotel",31/10/2024,29/11/2024,01/09/2024 09:37,1.73,1767
21/01/2025 02:23,117,20/02/2025,05/03/2025,364.22,3,1092.66,107,"Jones, Holland and Mcmillan Hotel",20/02/2025,05/03/2025,20/01/2025 22:56,3.44,1649
25/04/2024 17:06,118,25/08/2024,04/09/2024,68.69,2,137.38,105,Hancock-Phillips Hotel,25/08/2024,04/09/2024,25/04/2024 12:41,4.41,1653
13/03/2025 08:01,119,04/01/2024,28/01/2024,449.02,5,2245.1,120,Harvey-May Hotel,04/01/2024,28/01/2024,13/03/2025 05:22,2.65,1058
14/04/2024 19:33,120,26/01/2024,07/02/2024,496.08,5,2480.4,103,Mooney Inc Hotel,26/01/2024,07/02/2024,14/04/2024 17:14,2.31,1383
30/01/2025 14:10,121,01/08/2024,28/08/2024,66.82,4,267.28,105,Sanchez LLC Hotel,01/08/2024,28/08/2024,30/01/2025 09:53,4.29,1691
01/05/2025 00:57,122,10/12/2024,21/12/2024,444.55,2,889.1,109,Tran-Spencer Hotel,10/12/2024,21/12/2024,30/04/2025 19:38,5.32,1133
24/08/2024 06:57,123,18/02/2025,14/03/2025,122.62,4,490.48,106,Avila and Sons Hotel,18/02/2025,14/03/2025,24/08/2024 05:29,1.46,1272
03/03/2024 08:09,124,13/08/2024,21/08/2024,284.59,5,1422.95,114,Andersen-Jones Hotel,13/08/2024,21/08/2024,03/03/2024 04:18,3.86,1996
14/04/2024 05:25,125,02/03/2024,08/03/2024,183.74,1,183.74,106,Pierce-Baker Hotel,02/03/2024,08/03/2024,14/04/2024 01:20,4.09,1439
09/07/2024 00:34,126,24/12/2024,28/12/2024,291.97,2,583.94,107,Fuller PLC Hotel,24/12/2024,28/12/2024,08/07/2024 23:17,1.28,1733
15/01/2024 03:51,127,31/07/2024,20/08/2024,448.27,4,1793.08,118,Greene-Smith Hotel,31/07/2024,20/08/2024,15/01/2024 00:51,2.99,1600
29/01/2024 06:29,128,20/01/2024,18/02/2024,470.82,1,470.82,102,Rodriguez Ltd Hotel,20/01/2024,18/02/2024,29/01/2024 01:32,4.95,1852
25/03/2024 00:04,129,04/04/2024,29/04/2024,392.57,5,1962.85,103,Morton-Lewis Hotel,04/04/2024,29/04/2024,24/03/2024 21:50,2.24,1359
04/02/2025 23:16,130,05/11/2024,12/11/2024,458.63,5,2293.15,105,Brown PLC Hotel,05/11/2024,12/11/2024,04/02/2025 21:35,1.68,1487
01/02/2024 05:54,131,05/10/2024,14/10/2024,96.22,5,481.1,117,Garner-Reid Hotel,05/10/2024,14/10/2024,01/02/2024 02:38,3.27,1424
05/02/2025 10:12,132,19/02/2025,05/03/2025,260.4,4,1041.6,101,Pierce PLC Hotel,19/02/2025,05/03/2025,05/02/2025 04:37,5.57,1966
14/03/2025 14:56,133,10/03/2025,24/03/2025,246.11,2,492.22,108,"Myers, Case and Carpenter Hotel",10/03/2025,24/03/2025,14/03/2025 11:31,3.42,1570
08/01/2024 05:34,134,28/09/2024,08/10/2024,343.55,5,1717.75,113,Ryan and Sons Hotel,28/09/2024,08/10/2024,08/01/2024 04:04,1.49,1051
27/11/2024 03:50,135,08/11/2024,24/11/2024,363.52,3,1090.56,101,Garcia-Dodson Hotel,08/11/2024,24/11/2024,27/11/2024 00:03,3.78,1959
05/01/2024 08:39,136,28/11/2024,06/12/2024,393.14,3,1179.42,106,"Steele, Moreno and Edwards Hotel",28/11/2024,06/12/2024,05/01/2024 07:16,1.37,1908
29/07/2024 12:21,137,30/11/2024,11/12/2024,153.3,4,613.2,120,Johnson Inc Hotel,30/11/2024,11/12/2024,29/07/2024 07:57,4.4,1926
21/02/2024 17:22,138,20/10/2024,26/10/2024,364.3,5,1821.5,109,"Moran, Jennings and Mcdonald Hotel",20/10/2024,26/10/2024,21/02/2024 12:57,4.41,1243
24/08/2024 02:35,139,15/04/2025,19/04/2025,338.27,2,676.54,116,Garza Group Hotel,15/04/2025,19/04/2025,24/08/2024 00:02,2.55,1181
05/07/2024 02:26,140,09/11/2024,13/11/2024,418.21,5,2091.05,109,"Leblanc, Simpson and Palmer Hotel",09/11/2024,13/11/2024,05/07/2024 00:06,2.33,1302
23/11/2024 01:37,141,01/01/2025,03/01/2025,393.65,2,787.3,120,"Poole, Stanley and Baker Hotel",01/01/2025,03/01/2025,23/11/2024 00:36,1.02,1915
14/10/2024 12:06,142,21/09/2024,28/09/2024,67.55,4,270.2,113,"Carlson, Estrada and Thomas Hotel",21/09/2024,28/09/2024,14/10/2024 06:35,5.52,1808
06/01/2025 07:57,143,03/02/2024,06/02/2024,430.28,3,1290.84,119,Escobar-Gaines Hotel,03/02/2024,06/02/2024,06/01/2025 05:20,2.62,1516
24/02/2025 03:18,144,30/10/2024,28/11/2024,450.53,5,2252.65,109,"Jones, Kerr and Fischer Hotel",30/10/2024,28/11/2024,24/02/2025 01:31,1.79,1302
26/04/2025 18:58,145,28/12/2024,01/01/2025,450.25,4,1801,103,"Palmer, Jones and Powers Hotel",28/12/2024,01/01/2025,26/04/2025 15:50,3.14,1734
16/10/2024 01:23,146,23/08/2024,14/09/2024,64.24,3,192.72,116,Williams-Murphy Hotel,23/08/2024,14/09/2024,15/10/2024 23:10,2.22,1268
25/03/2025 07:51,147,12/09/2024,26/09/2024,205.2,4,820.8,101,Crawford Inc Hotel,12/09/2024,26/09/2024,25/03/2025 03:31,4.34,1729
20/01/2025 04:20,148,14/12/2024,28/12/2024,287.27,1,287.27,104,"Garza, Beck and Ross Hotel",14/12/2024,28/12/2024,19/01/2025 22:33,5.78,1633
01/04/2024 10:43,149,29/08/2024,23/09/2024,407.82,1,407.82,111,Gill-Rhodes Hotel,29/08/2024,23/09/2024,01/04/2024 06:42,4.01,1145
21/02/2024 21:13,150,17/06/2024,04/07/2024,230.36,2,460.72,110,"Pham, Snyder and Erickson Hotel",17/06/2024,04/07/2024,21/02/2024 17:15,3.96,1654
19/10/2024 01:21,151,05/11/2024,05/11/2024,442.08,3,1326.24,120,Becker Ltd Hotel,05/11/2024,05/11/2024,18/10/2024 22:57,2.39,1498
19/02/2024 15:44,152,16/01/2024,23/01/2024,406.75,2,813.5,112,"Clark, Montoya and Walker Hotel",16/01/2024,23/01/2024,19/02/2024 10:32,5.2,1261
09/04/2024 07:23,153,28/01/2025,20/02/2025,253.26,2,506.52,117,Acosta Group Hotel,28/01/2025,20/02/2025,09/04/2024 04:55,2.48,1053
27/03/2025 16:21,154,10/07/2024,12/07/2024,56.09,1,56.09,105,Davis Group Hotel,10/07/2024,12/07/2024,27/03/2025 13:02,3.31,1018
21/09/2024 09:52,155,08/07/2024,12/07/2024,460.51,1,460.51,119,Smith-Roberts Hotel,08/07/2024,12/07/2024,21/09/2024 07:09,2.72,1596
02/04/2025 04:33,156,06/02/2024,22/02/2024,286.05,5,1430.25,109,Patel-Rodriguez Hotel,06/02/2024,22/02/2024,02/04/2025 00:32,4.02,1846
08/11/2024 16:33,157,27/07/2024,07/08/2024,113.75,4,455,107,Wilson PLC Hotel,27/07/2024,07/08/2024,08/11/2024 10:36,5.95,1098
06/06/2024 18:19,158,11/09/2024,09/10/2024,341.04,5,1705.2,108,Newman Ltd Hotel,11/09/2024,09/10/2024,06/06/2024 17:12,1.12,1301
03/10/2024 00:14,159,20/05/2024,02/06/2024,219.69,2,439.38,102,Perez Ltd Hotel,20/05/2024,02/06/2024,02/10/2024 20:44,3.51,1418
30/09/2024 11:41,160,27/07/2024,04/08/2024,400.8,3,1202.4,110,Zamora LLC Hotel,27/07/2024,04/08/2024,30/09/2024 07:14,4.46,1217
